field_or_output,why_included,research_backing,source_url
startup_profile_stage_age_monthly_grain,Tracks early-stage startup context and monthly operating review needs,"BLS Business Employment Dynamics tracks establishment age, survival, births, deaths, and startup employment patterns.",https://www.bls.gov/bdm/entrepreneurship/entrepreneurship.htm
revenue_and_mom_growth,Shows customer traction and whether the company is growing or shrinking,"Startup success/failure research identifies business development, market fit, customer acquisition, and financial performance as important startup outcome factors.",https://www.mdpi.com/2071-1050/10/7/2346
cash_balance_and_burn_rate,Shows whether the startup has enough money to keep operating,"Startup failure research repeatedly identifies lack of capital, financial problems, and running out of cash as major failure drivers.",https://www.mdpi.com/2071-1050/10/7/2346
runway_months,Converts cash and burn into months of operating life,"Runway uses the direct business formula cash balance divided by monthly burn; cash availability is supported by startup failure research.",https://pmc.ncbi.nlm.nih.gov/articles/PMC10881814/
churn_and_retention,Shows whether customers are leaving and whether revenue quality is weak,"Startup failure research highlights product-market misfit, weak customer demand, few customers, and customer-service gaps as risk factors.",https://pmc.ncbi.nlm.nih.gov/articles/PMC10881814/
cac_and_cac_payback,Shows whether customer acquisition is too expensive or too slow to recover,"Startup failure research identifies lack of business development, customer acquisition problems, bad promotion, and weak business models as common risks.",https://www.mdpi.com/2071-1050/10/7/2346
nps_customer_sentiment,Adds a customer reaction signal before revenue decline appears,"NPS research is mixed, so SHARF uses NPS as one small customer sentiment signal rather than a stand-alone predictor.",https://journals.sagepub.com/doi/10.1509/jmkg.71.3.039
headcount_and_time_to_fill,Represents whether the team has enough capacity to execute,"Startup failure literature identifies team, product, business, and market problems as major early-stage failure dimensions; BLS supports tracking startup employment patterns.",https://www.bls.gov/spotlight/2024/business-employment-dynamics-twentieth-anniversary/
board_or_advisor_support,Represents governance and decision support for founders,"Fundraising and venture research shows startup outcomes depend on multiple factors including stage, networks, and external credibility.",https://arxiv.org/abs/1906.03210
macro_stress_index,Represents external financing and economic pressure,"FRED provides macroeconomic interest-rate series such as FEDFUNDS; SHARF uses a synthetic macro stress proxy for prototype testing.",https://fred.stlouisfed.org/series/FEDFUNDS
sharf_health_score,Combines multiple risk indicators into one transparent score,"Startup prediction research supports multi-feature modeling rather than relying on one metric alone.",https://arxiv.org/abs/2309.15552
risk_tier,Turns numeric score into simple founder-facing category,"Decision-support outputs are easier to use when numeric scores are translated into action-oriented categories; SHARF uses these as prototype categories.",https://arxiv.org/abs/2309.15552
monte_carlo_forecast,Shows future risk as probability instead of one exact prediction,"Startup outcomes are uncertain; simulation and multi-feature portfolio modeling are appropriate for uncertainty-aware decision support.",https://arxiv.org/abs/2309.15552
